id,text,ms,source,flag
s:was,"The word was",1361,spelling,
s:is,"The word is",1297,spelling,
l:close,"Good try!",1297,spelling,
l:wrong,"Let’s try again.",1510,spelling,
e:done,"All done! Great reading today!",2257,spelling,
e:levelup,"Amazing! Level up!",1830,spelling,
p:0,"Great job!",1340,spelling,
p:1,"You did it!",1254,spelling,
p:2,"You knew just what to do with that word!",2342,spelling,
p:3,"How do you feel about saying that word correctly?",2833,spelling,
p:4,"You worked that out on your own!",1873,spelling,
p:5,"Your reading is getting stronger every day!",2641,spelling,
p:6,"You should feel proud of that one!",2022,spelling,
p:7,"That was tricky, and you got it!",2172,spelling,
p:8,"You sounded that one out beautifully!",2257,spelling,
p:9,"What careful reading that was!",1980,spelling,
p:10,"Sound by sound, you built the whole word!",2748,spelling,
p:11,"You took your time and got it just right!",2321,spelling,
p:12,"That word had no chance against you!",2278,spelling,
p:13,"You stuck with it, and it paid off!",2172,spelling,
p:14,"You made that look easy!",1745,spelling,
p:15,"High five! You earned that one!",2044,spelling,
p:16,"Every sound in its place — wonderful!",2534,spelling,
w:at,"at",888,byte-pinned,
w:an,"an",960,byte-pinned,
w:am,"am",984,byte-pinned,
w:ax,"ax",816,byte-pinned,
w:in,"in",888,byte-pinned,
w:it,"it",840,byte-pinned,
w:if,"if",816,byte-pinned,
w:is,"is",912,byte-pinned,
w:on,"on",936,byte-pinned,
w:ox,"ox",936,byte-pinned,
w:up,"up",864,byte-pinned,
w:us,"us",888,byte-pinned,
w:cat,"cat",984,byte-pinned,
w:hat,"hat",960,byte-pinned,
w:mat,"mat",840,byte-pinned,
w:sat,"sat",1020,byte-pinned,
w:man,"man",960,byte-pinned,
w:can,"can",940,spelling,
w:ran,"ran",1233,spelling,
w:bat,"bat",960,byte-pinned,
w:cap,"cap",840,byte-pinned,
w:map,"map",984,byte-pinned,
w:tap,"tap",910,spelling,
w:nap,"nap",1190,spelling,
w:bag,"bag",984,byte-pinned,
w:dad,"dad",1212,spelling,
w:jam,"jam",1104,byte-pinned,
w:pan,"pan",1212,spelling,
w:rat,"rat",1252,spelling,
w:sad,"sad",980,byte-pinned,
w:wag,"Say wag.",920,spelling,
w:van,"van",1238,spelling,
w:fan,"fan",888,byte-pinned,
w:ham,"ham",960,byte-pinned,
w:lap,"lap",1008,byte-pinned,
w:tag,"Say tag.",1020,spelling,
w:had,"had",960,byte-pinned,
w:tan,"Say tan.",920,spelling,
w:pad,"pad",1212,spelling,
w:rag,"rag",1254,spelling,
w:zap,"zap",960,spelling,
w:yam,"yam",1080,byte-pinned,
w:pal,"pal",910,spelling,
w:cab,"cab",1212,spelling,
w:ram,"Say ram.",980,spelling,
w:dab,"dab",1212,spelling,
w:yap,"Say yap.",964,spelling,
w:mad,"mad",1032,byte-pinned,
w:bad,"bad",1233,spelling,
w:rap,"rap",984,byte-pinned,
w:has,"has",1008,byte-pinned,
w:pat,"pat",970,spelling,
w:dam,"dam",950,spelling,
w:nag,"nag",1318,spelling,
w:sap,"sap",912,byte-pinned,
w:vat,"vat",920,spelling,
w:sit,"sit",940,spelling,
w:pig,"Say pig.",880,spelling,
w:big,"Say big.",960,spelling,
w:dig,"Say dig.",960,spelling,
w:win,"Say win.",900,spelling,
w:lip,"lip",1069,spelling,
w:hit,"hit",840,byte-pinned,
w:six,"Say six.",1174,spelling,
w:fin,"fin",888,byte-pinned,
w:bin,"bin",888,byte-pinned,
w:dog,"Say dog.",1000,spelling,
w:hot,"hot",960,byte-pinned,
w:top,"Say top.",940,spelling,
w:pot,"pot",880,spelling,
w:mop,"Say mop.",840,spelling,
w:log,"Say log.",920,spelling,
w:box,"Say box.",920,spelling,
w:fox,"Say fox.",940,spelling,
w:hop,"hop",912,byte-pinned,
w:cot,"cot",888,byte-pinned,
w:mom,"Say mom.",860,spelling,
w:pop,"Say pop.",900,spelling,
w:not,"Say not.",940,spelling,
w:got,"got",970,spelling,
w:did,"did",864,byte-pinned,
w:him,"Say him.",880,spelling,
w:pin,"pin",1312,spelling,
w:tip,"Say tip.",940,spelling,
w:sip,"Say sip.",985,spelling,
w:dip,"dip",900,spelling,
w:hip,"hip",850,spelling,
w:rip,"rip",936,byte-pinned,
w:bit,"bit",1333,spelling,
w:fit,"Say fit.",900,spelling,
w:pit,"Say pit.",940,spelling,
w:bib,"Say bib.",920,spelling,
w:wig,"wig",1148,spelling,
w:fix,"fix",816,byte-pinned,
w:job,"job",1030,spelling,
w:lot,"lot",1056,byte-pinned,
w:nod,"Say nod.",940,spelling,
w:hog,"hog",930,spelling,
w:tin,"tin",880,spelling,
w:rig,"rig",864,byte-pinned,
w:rob,"rob",936,byte-pinned,
w:sob,"sob",984,byte-pinned,
w:mob,"mob",936,byte-pinned,
w:cop,"cop",984,byte-pinned,
w:dim,"dim",890,spelling,
w:bed,"bed",900,spelling,
w:red,"red",960,byte-pinned,
w:hen,"hen",936,byte-pinned,
w:pen,"pen",1080,byte-pinned,
w:ten,"ten",984,byte-pinned,
w:net,"net",912,byte-pinned,
w:leg,"leg",1056,byte-pinned,
w:wet,"wet",912,byte-pinned,
w:jet,"jet",936,byte-pinned,
w:men,"men",984,byte-pinned,
w:bus,"bus",960,byte-pinned,
w:cup,"cup",912,byte-pinned,
w:sun,"sun",1008,byte-pinned,
w:run,"run",960,byte-pinned,
w:fun,"fun",890,spelling,
w:mud,"mud",960,byte-pinned,
w:bug,"bug",910,spelling,
w:hug,"hug",888,byte-pinned,
w:nut,"nut",936,byte-pinned,
w:tub,"tub",888,byte-pinned,
w:pet,"pet",816,byte-pinned,
w:get,"get",912,byte-pinned,
w:let,"let",840,byte-pinned,
w:set,"set",960,byte-pinned,
w:cut,"cut",888,byte-pinned,
w:pup,"pup",888,byte-pinned,
w:web,"web",912,byte-pinned,
w:bun,"bun",910,spelling,
w:rug,"rug",888,byte-pinned,
w:mug,"mug",912,byte-pinned,
w:vet,"vet",840,byte-pinned,
w:tug,"tug",840,byte-pinned,
w:jug,"jug",960,byte-pinned,
w:hum,"hum",860,spelling,
w:rub,"rub",888,byte-pinned,
w:dug,"dug",840,byte-pinned,
w:bud,"bud",900,spelling,
w:peg,"peg",936,byte-pinned,
