word,seat,tiles,sounds,source,in,note
-,,-,silent,expert,text,no seat to rule by - expert decides; the l48-01 dash artifact - punctuation is never a spoken tile
a,4,a,schwa_a,engine,bank+seat+text,
action,95,a-c-ti-o-n,short_a k sh schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel; likely-tier accepted: -tion o is schwa
adventure,96,a-d-v-e-n-tu-re,short_a d v short_e n ch er,engine engine engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
aesop,,a-e-s-o-p,long_e silent s short_o p,expert expert expert expert expert,text,
all,56,al-l,aw l,engine engine,seat+text,
alphabet,91,a-l-ph-a-b-e-t,short_a l f short_a b short_e t,engine engine engine engine engine engine engine,seat,open-syllable candidate at 72+ - expert decides the vowel
am,5,a-m,short_a m,engine engine,bank+seat+text,
amused,,a-m-u-s-e-d,short_a m long_u z silent d,expert expert expert expert expert expert,text,
an,1,a-n,short_a n,engine engine,bank+seat+text,
anchor,94,a-n-ch-or,short_a ng k er,engine engine engine engine,bank+seat+text,open-syllable candidate at 72+ - expert decides the vowel
ancient,95,a-n-ci-e-n-t,long_a n sh short_e n t,expert expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
and,8,a-n-d,short_a n d,engine engine engine,bank+seat+text,
animal,13,a-n-i-m-a-l,short_a n short_i m short_a l,engine engine engine engine engine engine,seat,
another,38,a-n-o-th-er,short_a n short_u th_this er,expert expert expert expert expert,seat+text,
ant,1,a-n-t,short_a n t,engine engine engine,bank+seat+text,
apple,48,a-pp-le,short_a p l,engine engine engine,seat+text,
apron,72,a-p-r-o-n,long_a p r schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
are,16,are,ar,engine,bank+seat+text,
arm,79,ar-m,ar m,engine engine,seat+text,
around,79,ar-ou-n-d,er ow n d,expert expert expert expert,seat+text,judgment-call accepted: unstressed ar as er
as,1,a-s,short_a z,engine engine,bank+seat+text,
ask,16,a-s-k,short_a s k,engine engine engine,bank+seat+text,
asked,43,a-s-k-e-d,short_a s k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
at,1,a-t,short_a t,engine engine,bank+seat+text,
ate,57,a-t-e,long_a t silent,engine engine engine,seat+text,
away,82,a-w-ay,schwa w long_a,expert expert expert,seat+text,tiling corrected: aw must not eat the sounded w
awful,98,aw-f-u-l,aw f short_u l,engine engine engine engine,seat,
ax,18,a-x,short_a x,engine engine,bank+seat+text,
babies,63,b-a-b-ie-s,b long_a b long_e z,expert expert expert expert expert,seat,
baby,72,b-a-b-y,b long_a b long_e,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
back,26,b-a-ck,b short_a k,engine engine engine,bank+seat+text,
backpack,39,b-a-ck-p-a-ck,b short_a k p short_a k,engine engine engine engine engine engine,seat+text,
bacon,72,b-a-c-o-n,b long_a k schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
bad,12,b-a-d,b short_a d,engine engine engine,bank+seat+text,
badge,88,b-a-dge,b short_a j,engine engine engine,seat+text,
bag,12,b-a-g,b short_a g,engine engine engine,bank+seat+text,
banana,54,b-a-n-a-n-a,b short_a n short_a n short_a,engine engine engine engine engine engine,seat+text,
band,31,b-a-n-d,b short_a n d,engine engine engine engine,bank+seat+text,
bang,28,b-a-ng,b short_a ng,engine engine engine,bank+seat+text,
bank,31,b-a-n-k,b short_a n k,engine engine engine engine,seat+text,
barn,79,b-ar-n,b ar n,engine engine engine,seat+text,
bash,56,b-a-sh,b short_a sh,engine engine engine,bank+seat,
bat,12,b-a-t,b short_a t,engine engine engine,bank+seat+text,
bath,24,b-a-th,b short_a th_quiet,engine engine engine,bank+seat+text,
bathtub,24,b-a-th-t-u-b,b short_a th_quiet t short_u b,engine engine engine engine engine engine,seat,
be,10,b-e,b long_e,engine engine,bank+seat+text,
bed,12,b-e-d,b short_e d,engine engine engine,bank+seat+text,
behind,68,b-e-h-i-n-d,b short_e h long_i n d,engine engine engine lesson-68 engine engine,seat+text,
bell,56,b-e-ll,b short_e l,engine engine engine,bank+seat,
belt,31,b-e-l-t,b short_e l t,engine engine engine engine,bank+seat+text,
belts,32,b-e-l-t-s,b short_e l t s,engine engine engine engine engine,seat,
ben,,b-e-n,b short_e n,engine engine engine,text,
bench,23,b-e-n-ch,b short_e n ch,engine engine engine engine,seat,
benches,23,b-e-n-ch-e-s,b short_e n ch short_e z,expert expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
bend,31,b-e-n-d,b short_e n d,engine engine engine engine,bank+seat,
besides,54,b-e-s-i-d-e-s,b short_e s long_i d silent z,expert expert expert expert expert expert expert,seat+text,
best,12,b-e-s-t,b short_e s t,engine engine engine engine,bank+seat+text,
bet,12,b-e-t,b short_e t,engine engine engine,bank+seat,
bib,12,b-i-b,b short_i b,engine engine engine,bank+seat+text,
big,12,b-i-g,b short_i g,engine engine engine,bank+seat+text,
biggest,46,b-i-gg-e-s-t,b short_i g short_e s t,engine engine engine engine engine engine,seat,
bill,21,b-i-ll,b short_i l,engine engine engine,seat+text,
bin,12,b-i-n,b short_i n,engine engine engine,bank+seat+text,
bird,83,b-ir-d,b er d,engine engine engine,seat,
birds,83,b-ir-d-s,b er d z,expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
bit,12,b-i-t,b short_i t,engine engine engine,bank+seat+text,
bite,66,b-i-t-e,b long_i t silent,engine engine engine engine,seat+text,
biting,73,b-i-t-i-ng,b long_i t short_i ng,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
black,26,b-l-a-ck,b l short_a k,engine engine engine engine,bank+seat+text,
blend,35,b-l-e-n-d,b l short_e n d,engine engine engine engine engine,seat,
blind,35,b-l-i-n-d,b l long_i n d,expert expert expert expert expert,seat,
blue,76,b-l-ue,b l oo_moon,engine engine engine,seat+text,
boil,78,b-oi-l,b oi l,engine engine engine,seat,
book,75,b-oo-k,b oo_book k,engine seat-rule engine,seat+text,
born,81,b-or-n,b or n,engine engine engine,seat+text,
boss,56,b-o-ss,b short_o s,engine engine engine,bank+seat,
bought,92,b-ough-t,b aw t,engine seat-rule engine,seat+text,
box,18,b-o-x,b short_o x,engine engine engine,bank+seat+text,
boxes,47,b-o-x-e-s,b short_o x short_e z,expert expert expert expert expert,seat+text,final s buzzes to z after a voiced sound
boy,78,b-oy,b oi,engine engine,seat+text,
branches,23,b-r-a-n-ch-e-s,b r short_a n ch short_e z,expert expert expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
bread,69,b-r-ea-d,b r short_e d,engine engine seat-rule engine,seat+text,
