sound,ipa,graphemes,as_in,family,source,source_word,locked,verdict,ear_notes,round,listen_context,cut_start_s,cut_end_s,guard_lead_ms,guard_tail_ms,fade_ms,gain_db,pitch_shift_semitones,formant_ratio,byte_pin_sha256,notes
a,æ,a,at,vowel,owner_recording,a.wav,yes,ok,owner accept a_1 ok [S1]; family owner_cut_polish,S1 / 2026-08-05,clip,2.215,3.895,20,0,12,-3,,,4c9e49ded8432464b57323e6da0ae314e19b4a1575adc145d2dd0d026b251276,S1 a_1 owner_cut_polish; elongate=trim_to_target; blend=none; pin bake-package/sound-winners/s-a.wav; source recordings/wav24k/a.wav
e,ɛ,e,hen,vowel,owner_recording,e.wav,yes,ok,owner accept e_3 ok [S1]; family three_quarter_world,S1 / 2026-08-05,clip,2.335,3.955,20,0,12,-3,5.931,1.18,c4eab829d246d54719699083ae2d465afb9b05a658603d4285d6671b6509e4fb,S1 e_3 three_quarter_world; elongate=trim_to_target; blend=three_quarter; pin bake-package/sound-winners/s-e.wav; source recordings/wav24k/e.wav
i,ɪ,i,in,vowel,owner_recording,i.wav,yes,ok,owner accept i_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.405,3.985,20,0,12,-3,3.509,1.09,c11c122693db20b53f36cb5604a908840144e09975ef2b4e59c1ab0615e59a2c,S1 i_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-i.wav; source recordings/wav24k/i.wav
o,ɒ,o,ox,vowel,owner_recording,o.wav,yes,ok,owner accept o_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.295,3.955,20,0,12,-3,3.497,1.09,e40560cef8766180c13400c0058ce68196bd38b00223a46f26e2c730ee9b4a70,S1 o_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-o.wav; source recordings/wav24k/o.wav
u,ʌ,u,up,vowel,owner_recording,u.wav,yes,ok,owner accept u_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.345,3.475,20,0,12,-3,2.539,1.09,4e3add46bd98c7e53849e1cd7bce83c0a3ddcf28aa0ab0b596f6f9ac5cc2d30c,S1 u_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-u.wav; source recordings/wav24k/u.wav
b,b,b,bat,burst,owner_recording,B_sound.m4a,yes,accepted (marginal: still rather fuzzy),"round 4: three-quarter blend beat her-cut and full-wide, blind, in sequence; owner calls it marginal and fuzzy - a polish round may improve it, only with a new listen","rounds 1+3+4, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.38,0.76,20,0,12,-3,9.00,1.18,,"source sha256 c12ff54cc5bb503f8c11c963dd6f60cb4f7d52a67795d6e094a49d86fb8a9ccf; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld 0.3.5 WORLD frame 5ms, f0 x (200/100)^0.75, envelope warp 1.18"
ch,tʃ,ch,much,affricate,cut,much,no,,,,,,,,,10,0,0,,,word-final: the fricative tail carries the cut
d,d,d,dog,burst,owner_recording,D_sound.m4a,yes,accepted (half blend),"round 1 take accepted; round 3: half blend toward af_heart chosen blind, judged in sequence","rounds 1+3, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.04,0.37,20,0,12,-3,4.94,1.09,,"source sha256 32801b04cb57ca39447a830bee82467e98ee026e20ed192420a6f1b7ec4ffa94; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld WORLD harvest/cheaptrick/d4c/synthesize frame 5ms, f0 x sqrt(200/measured), envelope warp 1.09"
f,f,f,if,continuous,owner_recording,f.wav,yes,ok,owner accept f_3 ok [S2]; family f_mid_hp,S2 / 2026-08-05,clip,3.05,3.67,20,0,12,-3,,,19d5f19b4436e9047de960690109455059202d4bd452dbb60640c4072162a48f,S2 f_3 f_mid_hp; blend=none; pin bake-package/sound-winners/s-f.wav
g,g,g,gum,burst,owner_recording,G_sound.m4a,yes,accepted (half blend),"round 1 take accepted; round 3: half blend toward af_heart chosen blind, judged in sequence","rounds 1+3, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.11,0.55,20,0,12,-3,5.25,1.09,,"source sha256 9791ea2a52e51ff9b6b90056ad6da45dcbf65ce457d4ffc3ff7ed56b48a9cc97; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld WORLD harvest/cheaptrick/d4c/synthesize frame 5ms, f0 x sqrt(200/measured), envelope warp 1.09"
h,h,h,hop,breath,owner_recording,H_sound.m4a,yes,accepted (half blend),"round 1 take accepted; round 3: half blend toward af_heart chosen blind, judged in sequence","rounds 1+3, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.14,0.3,20,0,12,-3,4.64,1.09,,"source sha256 237996517dadbf8ccd8c8133e8cf2e9a8bc8c8a906aa8e41fc3fa968a665a438; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld WORLD harvest/cheaptrick/d4c/synthesize frame 5ms, f0 x sqrt(200/measured), envelope warp 1.09"
j,dʒ,j,jam,affricate,owner_recording,j.wav,yes,marginal,owner accept j_4 marginal [S4]; family j_cut_229,S4 / 2026-08-05,clip,0.23,0.41,20,0,12,-3,,,b64734e5d88f7f35a11716aaeddb447a37ef144dc5e78500422dd1a30f4c3d26,S4 j_4 j_cut_229; blend=none; pin bake-package/sound-winners/s-j.wav; retake3
k,k,c k ck,cat duck,burst,owner_recording,K_sound.m4a,yes,accepted,"owner picked full cut, blind, played twice","round 1, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.35,0.58,20,0,12,-3,0,,,source sha256 f426c223401ae5a4cf207ed784a8abfa17af8f05d9a9e7c70b78558afc9aea75; cut times are in the 24kHz mono decode; gain is peak target dBFS
l,l,l,lap,continuous,owner_recording,l.wav,yes,ok,owner accept l_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.425,4.0307,20,0,12,-3,5.514,1.09,1aa082925ed88882e058219cdcf313447ee2c4b079010dffdda63e2b6c0cd3bc,S1 l_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-l.wav; source recordings/wav24k/l.wav
m,m,m,am,continuous,owner_recording,m.wav,yes,ok,owner accept m_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,3.085,5.005,20,0,12,-3,4.402,1.09,1eff3af78a7d829a5157fafafedeb27ca03dfa030777f799dab2659cc4ec4568,S1 m_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-m.wav; source recordings/wav24k/m.wav
n,n,n,an,continuous,owner_recording,n.wav,yes,ok,owner accept n_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.545,4.455,20,0,12,-3,5.056,1.09,bea14e22e4b743d856afc12a412d7ca0af2a0c14282f64c6bfbf271d82c3ea20,S1 n_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-n.wav; source recordings/wav24k/n.wav
ng,ŋ,ng,ping,continuous,owner_recording,ng.wav,yes,ok,owner accept ng_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.965,4.515,20,0,12,-3,5.214,1.09,1a9ec4370f981eadb7265c917adcf70ef9ea129881e55e839058ea933353ddad,S1 ng_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-ng.wav; source recordings/wav24k/ng.wav
p,p,p,map,burst,owner_recording,P_sound.m4a,yes,accepted,"owner picked 100ms cut, blind, played twice","round 1, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.25,0.37,20,0,12,-3,0,,,source sha256 a686baac35a7372e9f14ef56e32fccbc7d66002cfe9934af1e5693b80928b204; cut times are in the 24kHz mono decode; gain is peak target dBFS
r,ɹ,r,rat,continuous,owner_recording,r.wav,yes,ok,owner accept r_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,3.015,4.515,20,0,12,-3,5.517,1.09,5c4d0b3f8b8c867e57da2a63ba7173b1cf8f2414ed5f5081fff0a6e883f87dcc,S1 r_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-r.wav; source recordings/wav24k/r.wav
s,s,s,us,continuous,owner_recording,s.wav,yes,ok,owner accept s_1 ok [S2]; family s_base_retry,S2 / 2026-08-05,clip,2.175,3.995,20,0,12,-3,,,06aa59a59ea8fb1bb088eb06dbb32f93c8287b1d87d78ebf2515673d83983bcc,S2 s_1 s_base_retry; blend=none; pin bake-package/sound-winners/s-s.wav
